temperature,energy1,energy2,energy3,energy4,energy5,energy6,energy7,energy8,energy9,energy10,                capacity1,capacity2,capacity3,capacity4,capacity5,capacity6,capacity7,capacity8,capacity9,capacity10,                real1,imag1,abs1,real2,imag2,abs2,real3,imag3,abs3,real4,imag4,abs4,real5,imag5,abs5,real6,imag6,abs6,real7,imag7,abs7,real8,imag8,abs8,real9,imag9,abs9,real10,imag10,abs10,                Oldreal1,Oldimag1,Oldabs1,Oldreal2,Oldimag2,Oldabs2,Oldreal3,Oldimag3,Oldabs3,Oldreal4,Oldimag4,Oldabs4,Oldreal5,Oldimag5,Oldabs5,Oldreal6,Oldimag6,Oldabs6,Oldreal7,Oldimag7,Oldabs7,Oldreal8,Oldimag8,Oldabs8,Oldreal9,Oldimag9,Oldabs9,Oldreal10,Oldimag10,Oldabs10,                binder_ratio1,binder_ratio2,binder_ratio3,binder_ratio4,binder_ratio5,binder_ratio6,binder_ratio7,binder_ratio8,binder_ratio9,binder_ratio10,                gsop,accept_ratio,avg_length,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,J,k_B,
0.2,-0.333332465,-0.333331597,-0.333331597,-0.333331597,-0.333333333,-0.333333333,-0.333331597,-0.333331597,-0.333331597,-0.333333333,6.50E-05,0.000129948,0.000129948,0.000129948,0,0,0.000129948,0.000129948,0.000129948,0,-0.499997396,-0.8660239,0.999997396,-0.499994792,-0.866022397,0.999994792,-0.499997396,-0.866020893,0.999994792,-0.499997396,-0.866020893,0.999994792,-0.5,-0.866025404,1,-0.5,-0.866025404,1,-0.499997396,-0.866020893,0.999994792,-0.5,-0.86601939,0.999994792,-0.5,-0.86601939,0.999994792,-0.5,-0.866025404,1,-0.333332755,0.577349267,0.666665509,-0.333332176,0.577348265,0.666664352,-0.333329861,0.57734626,0.666661458,-0.333329861,0.57734626,0.666661458,-0.333333333,0.577350269,0.666666667,-0.333333333,0.577350269,0.666666667,-0.333329861,0.57734626,0.666661458,-0.333327546,0.577344255,0.666658565,-0.333327546,0.577344255,0.666658565,-0.333333333,0.577350269,0.666666667,0.666666658,0.666666649,0.666666649,0.666666649,0.666666667,0.666666667,0.666666649,0.666666649,0.666666649,0.666666667, (-0.5-0.8660254037844594j),0.044811719,6.226614005,72,100,3456,10000,1,-1,1,05-24_01_26
0.3,-0.333268519,-0.333252894,-0.333254051,-0.333270833,-0.333263021,-0.333263889,-0.333246817,-0.33325897,-0.333265914,-0.333265046,0.002359259,0.003082292,0.002581417,0.002203395,0.002385388,0.002418981,0.002744338,0.002530064,0.002104909,5.37E-15,-0.499903646,-0.865855506,0.999804688,-0.499888021,-0.865810401,0.999757813,-0.499890625,-0.865811904,0.999760417,-0.499914063,-0.865852499,0.999807292,-0.499908854,-0.865834457,0.999789063,-0.499903646,-0.865840471,0.999791667,-0.499901042,-0.865781834,0.999739584,-0.499877604,-0.865837464,0.999776042,-0.499908854,-0.865843478,0.999796875,-0.499911458,-0.865838968,0.999794271,-0.333202546,0.577199918,0.666471066,-0.333163773,0.577156817,0.666414354,-0.333165509,0.577159824,0.666417826,-0.333197917,0.577197913,0.666467015,-0.333179977,0.577176864,0.666439816,-0.3331875,0.57718388,0.666449654,-0.333131944,0.577125744,0.666371531,-0.333193287,0.577185885,0.666454284,-0.333189236,0.577186887,0.666453126,-0.333184028,0.577181875,0.666446182,0.666665916,0.666665691,0.666665842,0.666665906,0.666665923,0.666665913,0.666665801,0.666665868,0.666666,0.666665957, (-0.5-0.8660254037844594j),0.045018316,6.227430324,72,100,3456,10000,1,-1,1,05-24_03_08
0.4,-0.332642361,-0.332590278,-0.33261169,-0.332640046,-0.332609086,-0.332595775,-0.332641493,-0.332654514,-0.332624421,-0.332623843,0.01266901,0.01403967,0.013498199,0.014679514,0.015136702,0.01435836,0.013838468,0.013997909,0.015096029,3.22E-14,-0.498971354,-0.864177582,0.997885417,-0.498893229,-0.864045273,0.997731771,-0.498869792,-0.864115938,0.99778125,-0.498927083,-0.864188107,0.997872396,-0.498822917,-0.864127966,0.997768232,-0.498802083,-0.864109924,0.997742191,-0.498927083,-0.86421517,0.997895834,-0.498929688,-0.864237723,0.997916667,-0.498940104,-0.864144505,0.997841146,-0.49884375,-0.864188107,0.997830733,-0.331911458,0.575713441,0.664538323,-0.331809606,0.575599174,0.664388459,-0.331890625,0.575679361,0.664498393,-0.331934028,0.575722462,0.664557411,-0.331916088,0.575697404,0.664526741,-0.331903356,0.575681366,0.664506489,-0.331956597,0.57575554,0.66459734,-0.331983796,0.575784608,0.664636107,-0.331884838,0.575679361,0.664495502,-0.33196412,0.575752533,0.664598492,0.666659045,0.666658375,0.666658453,0.666657569,0.666657191,0.666657957,0.666658518,0.666658188,0.666657776,0.666658589, (-0.5-0.8660254037844594j),0.046784462,6.233519097,72,100,3456,10000,1,-1,1,05-24_04_51
0.5,-0.330276331,-0.330225984,-0.330269097,-0.33028588,-0.330217303,-0.330207176,-0.330212095,-0.330136574,-0.3301875,-0.330253762,0.039224277,0.038561203,0.043840162,0.040417796,0.039703286,0.041277296,0.042319017,0.041488074,0.043078259,8.54E-14,-0.495033854,-0.857832743,0.990421896,-0.494994792,-0.857560607,0.990166672,-0.494973958,-0.857777113,0.990343776,-0.495210937,-0.857688406,0.990385417,-0.495114583,-0.857470396,0.990148439,-0.495002604,-0.857483928,0.990104168,-0.494973958,-0.857500466,0.990104171,-0.494833333,-0.857271932,0.989835942,-0.495078125,-0.857368157,0.990041669,-0.495044271,-0.857673371,0.990289069,-0.327229745,0.570240642,0.657460034,-0.327033565,0.57004318,0.657191129,-0.327212384,0.570226609,0.657439221,-0.327074074,0.570157447,0.657310402,-0.326914352,0.569969006,0.657067471,-0.326953125,0.569959985,0.657078938,-0.326976273,0.569980032,0.657107845,-0.326820602,0.569798608,0.656873016,-0.326827546,0.569878795,0.65694603,-0.327105324,0.57014141,0.657312042,0.666624833,0.666624077,0.666619627,0.666623458,0.666622511,0.666620638,0.66662104,0.666619866,0.66661944,0.666627175, (-0.5-0.8660254037844594j),0.0535636,6.256971991,72,100,3456,10000,1,-1,1,05-24_06_34
0.6,-0.324354745,-0.324390625,-0.324564525,-0.324375289,-0.324472801,-0.324451678,-0.324467014,-0.32450434,-0.324621528,-0.324476852,0.078682083,0.075750035,0.076457992,0.088968717,0.08559439,0.084600031,0.082836481,0.087083519,0.079488439,2.05E-13,-0.484742188,-0.840214539,0.970018278,-0.484695313,-0.84025363,0.970028716,-0.485018229,-0.840870072,0.970724039,-0.484627604,-0.840319785,0.970052192,-0.484830729,-0.8404972,0.970307363,-0.484549479,-0.840692657,0.9703362,-0.484731771,-0.84035587,0.970135494,-0.484611979,-0.840623495,0.970307493,-0.485398438,-0.840918185,0.970955733,-0.484731771,-0.840554334,0.970307414,-0.314629051,0.555666557,0.638558347,-0.314694444,0.555705648,0.638624585,-0.315082176,0.556096562,0.639155822,-0.314726273,0.555704646,0.638639398,-0.31484375,0.555870033,0.638841201,-0.315060764,0.555971269,0.639036257,-0.3148125,0.55575777,0.638728118,-0.315063079,0.556033415,0.639091466,-0.315009259,0.556084534,0.639109414,-0.314952546,0.555974276,0.638985526,0.666503731,0.666505472,0.666508284,0.66648194,0.666488211,0.666488669,0.666480095,0.666485579,0.66650554,0.66648942, (-0.5-0.8660254037844594j),0.070608565,6.313322338,72,100,3456,10000,1,-1,1,05-24_08_43
1.0, -0.25669994212962965, -0.2565428240740741, -0.2573313078703704, -0.2550821759259259, -0.2547815393518519, -0.25578269675925924, -0.2558313078703704, -0.2558119212962963, -0.2551588541666666, -0.25462702546296295, 0.18288743489584805, 0.1598823657407559, 0.15888062239581038, 0.17039291203706886, 0.1670229673032332, 0.20211712239580704, 0.17346747424764747, 0.18581556828704143, 0.18216717563660093, 4.862772751413137e-13, -0.14570833333333336, -0.43994992622044515, 0.4634510286795714, -0.134609375, -0.3847197575006237, 0.4075892241573976, -0.20980989583333334, -0.49313982328586464, 0.5359170436737462, -0.128984375, -0.3726465214027262, 0.39433792476465296, -0.07369270833333333, -0.3729622598311895, 0.3801729376479729, -0.06687500000000002, -0.3876395862057443, 0.39336587856442334, -0.14288541666666665, -0.4208221915208871, 0.44441822551786636, -0.11793489583333332, -0.36829985570421786, 0.38672137692008557, -0.14821875, -0.40549835312614596, 0.4317380134289533, -0.027622395833333344, -0.25726216799538554, 0.25874083526428393, -0.14806597222222223, 0.23791241405168892, 0.28022464004796965, -0.12713541666666667, 0.20752534675871548, 0.24337252046673644, -0.15089467592592593, 0.2866904930444736, 0.32397629855418986, -0.12206134259259259, 0.20185408317698825, 0.23588989433786423, -0.14045543981481481, 0.18172600894852145, 0.22967819422385566, -0.15234953703703702, 0.1831643729004088, 0.23824266816714323, -0.13924537037037038, 0.22896148019081505, 0.2679787912890694, -0.12496527777777776, 0.19769234998657967, 0.23387728810915664, -0.12903530092592594, 0.22716628169755354, 0.2612558677337918, -0.10534722222222223, 0.11199592878061397, 0.153756708124786, 0.6251891825651041, 0.6263596416126924, 0.6350052277670856, 0.6171060007887199, 0.6095478294355859, 0.61771516236928, 0.6171140014349387, 0.61113092558241, 0.6065371127130608, 0.5819522003169473, (-0.5-0.8660254037844594j), 0.3035614583333333, 7.055305902777778, 72, 100, 3456, 10000, 1, -1, 1,05-24_07_05
1.05, -0.24823061342592595, -0.24773119212962963, -0.24776446759259257, -0.24728269675925926, -0.24831684027777778, -0.24787934027777778, -0.248091724537037, -0.2487109375, -0.2482826967592593, -0.24693663194444443, 0.14356412588183406, 0.14768563633788573, 0.1624010361551761, 0.13224524413158098, 0.14597177894305013, 0.14424780565000078, 0.15796510849711612, 0.14892762004496102, 0.15098386847021425, 3.3166697500343303e-13, -0.08706510416666667, -0.3803009230184671, 0.3901398780081966, -0.01774479166666667, -0.32932420198494106, 0.32980192183235024, -0.06359895833333333, -0.2974947613632112, 0.30421696293868794, 0.030752604166666666, -0.2471916156437398, 0.24909720493733778, -0.12815885416666667, -0.37182409797239646, 0.3932910521920111, -0.04751302083333334, -0.3440361092349942, 0.3473014995738741, -0.02867187500000001, -0.33593065272144934, 0.3371520129761568, -0.10738541666666666, -0.40043451014012876, 0.4145834350572132, -0.06198958333333333, -0.33013910783364075, 0.33590852767238966, -0.0273203125, -0.2506587242915295, 0.25214320442668026, -0.13194386574074074, 0.19355367071317, 0.23424817427923075, -0.13375520833333332, 0.1442904571191913, 0.19674905786803296, -0.1043130787037037, 0.14629715024231224, 0.1796776963278046, -0.11724016203703702, 0.08816519501328177, 0.14669136718362366, -0.11369328703703704, 0.20401313262114526, 0.2335541089323395, -0.1300578703703704, 0.1608501859339167, 0.2068521983452234, -0.13462210648148146, 0.14876492170541092, 0.20063427793756572, -0.1356041666666667, 0.2104521918733573, 0.2503569753005926, -0.12061574074074073, 0.16022873251916395, 0.20055274527947847, -0.09624131944444443, 0.11199292174796194, 0.14766450517999485, 0.6073372062497616, 0.6071422819947737, 0.5954912093250329, 0.6003172608406063, 0.6180444631092887, 0.6092469415479939, 0.6050286387908158, 0.6195508539113939, 0.6003146121406739, 0.5937750517164551, (-0.5-0.8660254037844594j), 0.33514817708333333, 7.1514541666666664, 72, 100, 3456, 10000, 1, -1, 1,05-24_07_05
1.1, -0.24069357638888889, -0.24177170138888887, -0.24171585648148147, -0.24086718750000002, -0.2411383101851852, -0.2420986689814815, -0.2421576967592593, -0.24189670138888886, -0.2416053240740741, -0.2414308449074074, 0.11792796119336639, 0.11735155317379206, 0.11751872417352643, 0.11541600450527904, 0.1311084624655598, 0.12423351674892404, 0.11101029016489324, 0.11358063949150318, 0.1351645852463697, 2.755870013862673e-13, 0.01184375, -0.19494592683105746, 0.19530537320330568, -0.053625, -0.30388169871612175, 0.308576939254371, -0.05168229166666666, -0.2701307642297454, 0.27503034206295257, 0.040445312500000004, -0.24485214424046114, 0.24817009457703448, 0.027195312499999992, -0.22815409192374264, 0.2297691769657546, -0.01708072916666667, -0.28531176857351487, 0.2858225963695172, 0.019135416666666672, -0.2951252196334124, 0.29574492292290805, -0.030492187499999997, -0.2959716993249587, 0.2975382669503856, 0.003208333333333334, -0.24224655044747787, 0.24226779523180586, -0.06144531250000001, -0.27200865612093733, 0.2788623951574342, -0.08504629629629629, 0.07564691808288379, 0.11382147745112058, -0.10516898148148149, 0.14824670974504453, 0.1817624868230067, -0.09057175925925925, 0.13209293033834313, 0.16016174893115892, -0.11545081018518519, 0.08843983732883376, 0.14543209549190383, -0.10301562499999999, 0.08407362591808722, 0.1329683931209033, -0.10971006944444446, 0.12608387675537125, 0.16713301084815194, -0.129537037037037, 0.1174246250617442, 0.1748381724201723, -0.10878067129629629, 0.13547183269500673, 0.17374076062172847, -0.10162210648148148, 0.09902258757554222, 0.1418891305769737, -0.09053125000000001, 0.13698036074210812, 0.16419356398958082, 0.5864935663958395, 0.6076078292223178, 0.607671624796265, 0.6029622923469415, 0.5917596848879456, 0.611862913189536, 0.6187359129807846, 0.6104480864750741, 0.5908879560147384, 0.5874180780056941, (-0.5-0.8660254037844594j), 0.3632449363425926, 7.2330655092592595, 72, 100, 3456, 10000, 1, -1, 1,05-24_07_05
1.15, -0.2364910300925926, -0.23581018518518518, -0.23648524305555557, -0.23578443287037038, -0.23597829861111114, -0.23662528935185184, -0.2364586226851852, -0.23630729166666667, -0.23616059027777778, -0.23592418981481483, 0.10160746845024159, 0.10525633620387373, 0.1063434570380839, 0.10231445577787718, 0.1021936740793078, 0.102059544344652, 0.10620155932750644, 0.10652530893369, 0.10845711663338278, 2.544691995893146e-13, -0.0003125000000000036, -0.2883714242969549, 0.2883715936206345, 0.01062239583333333, -0.2552354279879185, 0.2554563739533933, -0.00010677083333333393, -0.22532447419818333, 0.22532449949505853, 0.014421875000000004, -0.23004401194554325, 0.23049563533940695, -0.0248359375, -0.2534251943313968, 0.254639260353564, -0.03717708333333334, -0.24666388141330892, 0.24944980641213682, -0.04337239583333333, -0.24440108934265692, 0.24821977598934522, 0.007864583333333333, -0.2526989959459317, 0.25282134843222587, -0.022958333333333344, -0.20647489001893787, 0.20774735925584453, 0.027325520833333335, -0.18712914545210765, 0.18911372548402983, -0.11480671296296296, 0.12282926508165819, 0.16812974068218992, -0.105078125, 0.10478606682526506, 0.14839653686735596, -0.08899652777777778, 0.09560359145018489, 0.13061557585018196, -0.0965792824074074, 0.09207834683778923, 0.1334390488077233, -0.09047569444444443, 0.11771730957320839, 0.1484695802457832, -0.08464872685185185, 0.11701867565372023, 0.14442568126683702, -0.08043113425925925, 0.11832773720157033, 0.1430755770544885, -0.10382638888888888, 0.10484119575721891, 0.14755200899177986, -0.07269386574074073, 0.09447394951723923, 0.11920455215183144, -0.08431655092592592, 0.06804814657120574, 0.10835050074559212, 0.6118949217382614, 0.601958154768091, 0.5968700919968695, 0.5883526948095419, 0.5956494993053075, 0.5958160752310951, 0.5953535933681642, 0.5962355474655805, 0.5926727158057101, 0.5895920144277444, (-0.5-0.8660254037844594j), 0.3886923032407407, 7.29976087962963, 72, 100, 3456, 10000, 1, -1, 1,05-24_07_05
1.2, -0.23116319444444444, -0.2326119791666667, -0.23150318287037036, -0.23137239583333336, -0.2313298611111111, -0.23190306712962963, -0.2318310185185185, -0.23148234953703703, -0.23180873842592592, -0.23109635416666668, 0.09993007330246748, 0.09397713135769098, 0.09312133789061042, 0.09395754384483157, 0.09354492669752255, 0.0838582157841513, 0.09454948238167893, 0.09428992070953604, 0.0954093201437398, 2.2535248895782979e-13, -0.0001041666666666643, -0.18853192618427944, 0.1885319549610862, -0.056046875, -0.26052630193916404, 0.2664867842865047, -0.000864583333333334, -0.21033591994414358, 0.21033769686646628, 0.02015625000000001, -0.17818171979599468, 0.17931815213056615, 0.02690885416666667, -0.22544475550426465, 0.22704498280503932, -0.035552083333333345, -0.25187506899927586, 0.25437177715448356, -0.04053645833333334, -0.28098615210357114, 0.2838950900036513, -0.021169270833333333, -0.20127122001460124, 0.20238142709690787, -0.005776041666666661, -0.21126208600096857, 0.2113410316025161, 0.03149479166666667, -0.1902158644694158, 0.192805593793266, -0.07230266203703704, 0.07854068583835332, 0.10675352111101963, -0.07818460648148148, 0.13184735600509406, 0.15328587011266934, -0.07986863425925923, 0.0892316892605348, 0.1197551381224537, -0.0759560185185185, 0.06773641751961204, 0.10177199520288836, -0.0957962962962963, 0.0885711444213057, 0.13046753622333634, -0.08309953703703704, 0.12075040317488861, 0.14658169368194665, -0.09220543981481481, 0.13459778853748355, 0.16315148730742413, -0.06852662037037036, 0.09336034509177106, 0.11581041289555719, -0.07885185185185185, 0.09135565665708484, 0.12067920510060365, -0.08429571759259258, 0.07046981020030667, 0.10987157118252823, 0.5732133159896253, 0.6055366739978643, 0.5804130596262788, 0.5875260200527, 0.596192148000725, 0.5868614252622897, 0.6016083022001254, 0.5891094911930176, 0.5908210185049059, 0.5866195217850598, (-0.5-0.8660254037844594j), 0.4120668113425926, 7.3545240740740745, 72, 100, 3456, 10000, 1, -1, 1,05-24_07_05
